Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=0, nodes[5]=1, nodes[6]=0, nodes[7]=0, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=1, not(nodes[7])=1, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=0, nodes[5]=1, nodes[6]=0, nodes[7]=0, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=0, not(nodes[7])=1, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=0, nodes[5]=1, nodes[6]=0, nodes[7]=1, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=0, not(nodes[7])=0, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=1, nodes[5]=0, nodes[6]=0, nodes[7]=0, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=1, not(nodes[8])=1, not(nodes[7])=1, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=1, nodes[5]=0, nodes[6]=0, nodes[7]=0, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=1, not(nodes[8])=0, not(nodes[7])=1, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=1, nodes[5]=0, nodes[6]=0, nodes[7]=1, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=1, not(nodes[8])=1, not(nodes[7])=0, not(nodes[3])=1, BV_1=1, BV_2=0, not(BV_1)=0, BV_3=2147483647, not(BV_2)=1, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=1, nodes[5]=0, nodes[6]=0, nodes[7]=1, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=1, not(nodes[8])=0, not(nodes[7])=0, not(nodes[3])=1, BV_1=1, BV_2=0, not(BV_1)=0, BV_3=2147483647, not(BV_2)=1, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=1, nodes[5]=1, nodes[6]=0, nodes[7]=0, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=1, not(nodes[7])=1, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=1, nodes[5]=1, nodes[6]=0, nodes[7]=0, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=0, not(nodes[7])=1, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=1, nodes[5]=1, nodes[6]=0, nodes[7]=1, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=1, not(nodes[7])=0, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=0, nodes[4]=1, nodes[5]=1, nodes[6]=0, nodes[7]=1, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=0, not(nodes[7])=0, not(nodes[3])=1, BV_1=1, BV_2=2147483647, not(BV_1)=0, BV_3=2147483647, not(BV_2)=2147483647, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=0, nodes[5]=0, nodes[6]=0, nodes[7]=0, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=1, not(nodes[8])=1, not(nodes[7])=1, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=1, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=0, nodes[5]=1, nodes[6]=0, nodes[7]=0, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=1, not(nodes[7])=1, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=2147483647, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=0, nodes[5]=1, nodes[6]=0, nodes[7]=0, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=0, not(nodes[7])=1, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=2147483647, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=0, nodes[5]=1, nodes[6]=0, nodes[7]=1, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=1, not(nodes[7])=0, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=1, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=1, nodes[5]=0, nodes[6]=0, nodes[7]=0, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=1, not(nodes[8])=1, not(nodes[7])=1, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=1, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=1, nodes[5]=0, nodes[6]=0, nodes[7]=0, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=1, not(nodes[8])=0, not(nodes[7])=1, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=1, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=1, nodes[5]=1, nodes[6]=0, nodes[7]=0, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=1, not(nodes[7])=1, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=2147483647, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=1, nodes[5]=1, nodes[6]=0, nodes[7]=0, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=0, not(nodes[7])=1, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=2147483647, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=1, nodes[5]=1, nodes[6]=0, nodes[7]=1, nodes[8]=0, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=1, not(nodes[7])=0, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=1, not(BV_2)=0, BV_4=2147483647, 
Solution: nodes[0]=1, nodes[1]=1, nodes[2]=0, nodes[3]=1, nodes[4]=1, nodes[5]=1, nodes[6]=0, nodes[7]=1, nodes[8]=1, not(nodes[0])=0, not(nodes[1])=0, not(nodes[5])=0, not(nodes[8])=0, not(nodes[7])=0, not(nodes[3])=0, BV_1=1, BV_2=1, not(BV_1)=0, BV_3=1, not(BV_2)=0, BV_4=2147483647, 
